lights,T1,RH_1,RH_5,T6,RH_6,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,weekType
0.42857142857142855,0.3827160493827164,0.5661865885179169,0.3254135338536801,0.42876303209447386,0.8418267610717897,0.09767441860465453,0.8888888888888888,0.5,0.953846153846154,0.661111111111111,0.0
0.42857142857142855,0.3827160493827164,0.5413264837591665,0.3254135338536801,0.42243120371850973,0.8398719244691608,0.10000000000000142,0.8888888888888888,0.47619047621428573,0.8948717949230769,0.6555555555555554,0.0
0.42857142857142855,0.3827160493827164,0.5305017888697823,0.3236090225756819,0.4134793084701392,0.8307044152679475,0.10232558139535186,0.8888888888888888,0.4523809523571428,0.835897435846154,0.6499999999999999,0.0
0.5714285714285714,0.3827160493827164,0.5240803597354298,0.3236090225756819,0.40933086919272316,0.8334007414560163,0.10465116279069875,0.8888888888888888,0.42857142857142855,0.776923076923077,0.6444444444444444,0.0
0.5714285714285714,0.3827160493827164,0.5314191358103459,0.3236090225756819,0.40714748012692603,0.8482642399393328,0.10697674418604919,0.8888888888888888,0.4047619047857143,0.7179487179999999,0.6388888888888888,0.0
0.5714285714285714,0.3827160493827164,0.5229795432966717,0.32262474369677385,0.40496409102837794,0.8570947084934277,0.10930232558139608,0.8888888888888888,0.38095238092857137,0.658974358923077,0.6333333333333333,0.0
0.7142857142857143,0.3827160493827164,0.5158242364447461,0.3215857827126086,0.40376322701926387,0.8603640040444894,0.11162790697674652,0.8888888888888888,0.3571428571428571,0.6000000000000001,0.6277777777777778,0.0
0.7142857142857143,0.37860082345679036,0.5101366847527624,0.32049213945913957,0.4013614990337866,0.8637344118301314,0.11317829534884538,0.8865740740277779,0.3690476190714286,0.6000000000000001,0.6266666666666666,0.0
0.5714285714285714,0.3703703703703707,0.5111687001640979,0.3221326042573198,0.3991781099352386,0.8718570947421638,0.11472868139534498,0.8842592593055556,0.38095238092857137,0.6000000000000001,0.6261111111111111,0.0
0.5714285714285714,0.37860082345679036,0.5247225025663038,0.3221326042573198,0.4013614990337866,0.8759015841253792,0.11627906976744384,0.8819444444444444,0.39285714285714285,0.6000000000000001,0.625,0.0
1.0,0.3872427987654321,0.5184845426549414,0.3221326042573198,0.4013614990337866,0.8783282777553084,0.1178294581395356,0.8796296295833332,0.4047619047857143,0.6000000000000001,0.6238888888888888,0.0
0.8571428571428571,0.4045267493827165,0.5331620953551819,0.3221326042573198,0.3991781099352386,0.8796090326592517,0.11937984418604941,0.877314814861111,0.4166666666428571,0.6000000000000001,0.6233333333333333,0.0
0.7142857142857143,0.41275720123456816,0.5772864875169905,0.3236090225756819,0.3991781099352386,0.8856420626895855,0.12093023255814117,0.875,0.42857142857142855,0.6000000000000001,0.6222222222222222,0.0
0.5714285714285714,0.42839506172839537,0.7073662967886096,0.3248120300396652,0.3973495215852645,0.8818503538928211,0.12364341162790993,0.8680555555555556,0.42857142857142855,0.6000000000000001,0.6177777777777778,0.0
0.14285714285714285,0.4489711938271608,0.7945142646734689,0.3303349282482204,0.39186375650259136,0.8812605325581396,0.12635658837208652,0.8611111111111112,0.42857142857142855,0.6000000000000001,0.6127777777777778,0.0
0.14285714285714285,0.4662551444444447,0.7394734427355771,0.3392344497783475,0.3885886728711447,0.8833838894843276,0.12906976744186238,0.8541666666666667,0.42857142857142855,0.6000000000000001,0.6083333333333333,0.0
0.14285714285714285,0.48641975308642005,0.7055316026322784,0.34657552975020367,0.38618694488566746,0.8812942366026288,0.13178294651163114,0.8472222222222221,0.42857142857142855,0.6000000000000001,0.6038888888888888,0.0
0.42857142857142855,0.5020576135802473,0.7330520136012244,0.3538482569674535,0.37963677762277415,0.8725985844287159,0.13449612325580773,0.8402777777777777,0.42857142857142855,0.6000000000000001,0.5988888888888888,0.0
0.42857142857142855,0.5061728395061733,0.6651683331194231,0.3559261790998304,0.37330494924681007,0.8671385237613751,0.1372093023255836,0.8333333333333333,0.42857142857142855,0.6000000000000001,0.5944444444444443,0.0
0.5714285714285714,0.5061728395061733,0.6268232272610932,0.5801230349057966,0.37330494924681007,0.8742500842264914,0.13798449534883162,0.8310185184722223,0.42857142857142855,0.6000000000000001,0.5927777777777777,0.0
0.2857142857142857,0.5061728395061733,0.5892119988451325,0.7158441558205502,0.37767172744390615,0.8749241658240647,0.13875969069768246,0.82870370375,0.42857142857142855,0.6000000000000001,0.5905555555555555,0.0
0.5714285714285714,0.5152263370370376,0.5671956700699756,0.7278195488472652,0.3787634219768048,0.8691270644084935,0.13953488372093048,0.8263888888888888,0.42857142857142855,0.6000000000000001,0.5888888888888888,0.0
